Order_ID,Foreign_Customer_ID,Product_ID,Quantity,Date_Ordered,Status,Total_Amount
1,1,19,3,5/20/2023,Cancelled,$7.98
2,2,27,1,9/1/2023,Pending,$9.20
3,3,16,2,8/22/2022,Delivered,$8.64
4,4,18,1,4/7/2024,Shipped,$6.95
5,5,11,1,10/28/2023,Processing,$1.56
6,6,15,3,6/20/2024,Shipped,$5.34
7,7,4,2,9/29/2022,Pending,$0.35
8,8,26,3,11/30/2024,Pending,$2.00
9,9,7,2,8/29/2024,Delivered,$4.53
10,10,16,2,9/12/2024,Pending,$7.42
11,11,34,3,8/21/2024,Pending,$7.50
12,12,23,4,8/26/2024,Cancelled,$8.15
13,13,22,2,6/27/2024,Processing,$2.41
14,14,13,4,9/12/2024,Shipped,$1.21
15,15,36,4,6/16/2024,Cancelled,$7.23
16,16,8,4,8/6/2022,Pending,$5.41
17,17,2,2,9/3/2023,Delivered,$2.90
18,18,23,3,11/29/2023,Pending,$9.57
19,19,23,1,3/22/2024,Pending,$5.54
20,20,35,1,1/10/2024,Cancelled,$7.43
21,21,12,3,11/2/2022,Pending,$2.69
22,22,28,3,8/11/2022,Processing,$5.32
23,23,24,1,4/4/2023,Shipped,$8.52
24,24,5,3,6/10/2023,Shipped,$7.17
25,25,37,2,10/17/2024,Processing,$8.65
26,26,28,2,11/10/2022,Cancelled,$7.25
27,27,36,2,8/3/2023,Cancelled,$6.61
28,28,10,3,9/2/2024,Delivered,$2.04
29,29,6,4,1/10/2024,Processing,$5.20
30,30,33,1,5/17/2023,Delivered,$9.21
31,31,13,2,4/10/2024,Cancelled,$8.52
32,32,5,3,4/17/2023,Cancelled,$3.13
33,33,6,1,7/9/2023,Cancelled,$0.81
34,34,12,2,10/1/2022,Shipped,$2.74
35,35,31,4,1/19/2023,Cancelled,$3.76
36,36,26,1,4/12/2023,Shipped,$6.89
37,37,32,1,12/1/2023,Shipped,$0.43
38,38,2,4,6/3/2024,Processing,$2.54
39,39,12,2,8/27/2023,Delivered,$3.33
40,40,14,4,3/20/2023,Processing,$7.07
41,41,34,1,11/1/2023,Pending,$0.48
42,42,32,1,4/6/2023,Delivered,$4.82
43,43,27,4,4/24/2023,Cancelled,$6.92
44,44,21,4,9/7/2023,Pending,$7.11
45,45,8,1,10/6/2024,Delivered,$1.70
46,46,7,1,11/27/2023,Pending,$2.56
47,47,22,1,11/19/2023,Cancelled,$1.24
48,48,1,3,3/27/2023,Shipped,$3.38
49,49,20,2,7/27/2023,Processing,$5.94
50,50,18,3,3/1/2023,Shipped,$3.59
