ProductID,Product_name,Price$,Stock_Level
1,SALSOLA KALI POLLEN,2.99,1
2,Alprazolam,5.99,8
3,Ibuprofen and Pseudoephedrine Hydrochloride,249.99,2
4,Good Sense Nicotine,129.99,3
5,Aveeno Positively Ageless Complete Anti Aging System,5.79,8
6,Propranolol Hydrochloride,2.99,9
7,Carbidopa and Levodopa,2.99,3
8,Systane Nighttime,2.49,5
9,Zapotol Clotrimazole,24.99,8
10,Roll-On Antiperspirant,34.99,3
11,modafinil,14.99,1
12,SACCHAROMYCES CEREVISIAE,19.99,3
13,Homeopathic Wart,39.99,1
14,ACTIPREP,24.99,1
15,Diabetes,19.99,7
16,Glipizide,39.99,9
17,Diphenhydramine HCl,3.29,2
18,AK-FLUOR,10.99,8
19,Secret Antiperspirant/Deodorant,24.99,3
20,False Ragweed,89.99,0
21,"Pollens - Trees, Birch Mix",19.99,6
22,NEXIUM,79.99,0
23,Amantadine HCl,3.79,8
24,Camilia,19.99,4
25,Rocky Mountain KIDS Broad Spectrum SPF 30,2.49,2
26,Diltiazem Hydrochloride,12.99,9
27,Lisinopril,69.99,1
28,Dandelion Pollen,69.99,5
29,Zidovudine,22,0
30,Verapamil Hydrochloride,4.99,9
31,SAVELLA,12.99,2
32,COLIC with GAS,3.49,2
33,Heparin Sodium,3.29,7
34,Lorazepam,2.49,2
35,Zoloft,54.99,7
36,flormar PERFECT COVERAGE FOUNDATION SUNSCREEN BROAD SPECTRUM SPF 15 113 Medium Beige,24.99,3
37,Zosyn,3.99,5
38,Insects (whole body) cockroach mix,49.99,6
39,CEFTRIAXONE,29.99,7
40,Topcare stay awake,199.99,9
41,Candida I,49.99,7
42,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",12.99,9
43,Naphazoline,59.99,9
44,LBEL COULEUR LUXE AMPLIFIER XP,6.99,9
45,HPZ,12.99,4
46,Methylphenidate Hydrochloride,3.29,4
47,Risperidone,19.99,2
48,Antiseptic,5.49,4
49,Smart Sense Pain Relief,19.99,5
50,Naprelan,6.99,0
51,Highmark Professional Gold and Clean Antimicrobial Ltn Sp,4.29,0
52,Antimicrobial,19.99,1
53,Pacific,99.99,2
54,Trileptal,14.99,0
55,Levofloxacin,19.99,9
56,Zentrip,4.29,5
57,Parsley,109.99,9
58,Slash Pine,2.79,3
59,Panrosa Antibacterial Hand With Moisturizers,49.99,0
60,Raspberry Hand Sanitizer,2.49,6
61,Arnica,49.99,2
62,Dr. Oberon Original Snail Cream,4.99,4
63,Nitrogen,9.99,5
64,Levetiracetam,2.99,0
65,Risperidone,34.99,2
66,LBEL EFFET PARFAIT Spots Reducing Effect Foundation SPF 18 - MEDIUM 6,249.99,8
67,ANTIBACTERIAL HSOAP,79.99,1
68,SUMATRIPTAN SUCCINATE,5.49,3
69,Ultra-TechneKow,3.49,2
70,IVA ANNUA VAR ANNUA POLLEN,12.99,8
71,Amoxicillin,39.99,8
72,Ibuprofen,99.99,8
73,Prilosec OTC,2.49,9
74,Complexion Brightener SPF20,4.49,9
75,Naproxen,29.99,0
76,Diclofenac Potassium,7.19,4
77,Venlafaxine Hydrochloride,4.99,8
78,benzoyl peroxide,349.99,9
79,LOCCITANE,49.99,5
80,Vite20,39.99,3
81,Methylphenidate Hydrochloride,149.99,4
82,Grama Grass,2.99,2
83,Dorzolamide HCl,89.99,7
84,miconazole 3,4.29,1
85,Nystatin,199.99,2
86,INSTANT HAND SANITIZER,1.89,2
87,Detrol LA,1.49,6
88,ck one all day perfection face makeup,10.99,0
89,Glipizide,16.99,5
90,MoviPrep,39.99,9
91,SUN PREMIUM FACE 50 SPF,3.79,3
92,Medroxyprogesterone Acetate,4.99,2
93,infants acetaminophen,59.99,5
