Order_ID,Foreign_Customer_ID,Product_ID,Quantity,Date_Ordered,Status,Total_Amount
1,1,11,2,7/20/2023,Shipped,Euro
2,2,33,1,3/10/2024,Delivered,Lari
3,3,15,1,7/15/2024,Processing,Euro
4,4,27,4,10/6/2024,Delivered,Peso
5,5,27,3,5/18/2024,Cancelled,Dollar
6,6,14,3,9/7/2022,Pending,Rupiah
7,7,40,3,1/21/2023,Processing,Yuan Renminbi
8,8,8,3,11/13/2023,Shipped,Yuan Renminbi
9,9,25,1,5/24/2024,Cancelled,Shekel
10,10,1,3,10/4/2022,Shipped,Yuan Renminbi
11,11,4,2,10/28/2024,Pending,Real
12,12,17,1,10/24/2024,Cancelled,Euro
13,13,30,2,11/30/2024,Processing,Real
14,14,11,1,11/7/2023,Delivered,Rupiah
15,15,12,1,11/5/2022,Shipped,Peso
16,16,5,2,10/25/2022,Processing,Dollar
17,17,17,3,8/6/2023,Processing,Euro
18,18,19,4,12/20/2022,Processing,Dinar
19,19,17,4,6/5/2023,Delivered,Baht
20,20,17,4,12/12/2023,Pending,Real
21,21,31,3,8/20/2024,Cancelled,Peso
22,22,35,1,1/21/2023,Delivered,Euro
23,23,12,4,2/10/2023,Delivered,Yuan Renminbi
24,24,23,3,6/13/2024,Processing,Yuan Renminbi
25,25,9,1,12/14/2022,Cancelled,Hryvnia
26,26,37,1,4/22/2023,Delivered,Dong
27,27,19,3,6/21/2023,Pending,Dollar
28,28,3,4,5/19/2023,Processing,Euro
29,29,16,3,8/30/2023,Cancelled,Yuan Renminbi
30,30,2,4,12/13/2022,Cancelled,Dollar
31,31,20,1,11/22/2023,Shipped,Peso
32,32,16,4,11/9/2022,Processing,Peso
33,33,22,4,5/2/2024,Processing,Rupiah
34,34,19,1,7/25/2023,Delivered,Rupiah
35,35,15,2,8/17/2022,Cancelled,Euro
36,36,32,1,7/16/2024,Shipped,Peso
37,37,5,3,11/11/2022,Processing,Dirham
38,38,29,3,4/3/2024,Shipped,Dinar
39,39,36,2,3/23/2023,Delivered,Rupiah
40,40,21,1,9/7/2024,Processing,Rupiah
41,41,5,1,8/16/2022,Shipped,Yuan Renminbi
42,42,23,2,7/4/2024,Processing,Peso
43,43,8,2,8/26/2023,Processing,Euro
44,44,8,2,3/7/2024,Delivered,Dollar
45,45,17,4,6/30/2024,Processing,Tugrik
46,46,8,1,8/20/2024,Cancelled,Euro
47,47,13,2,5/30/2023,Shipped,Yuan Renminbi
48,48,38,1,10/21/2023,Delivered,Rupiah
49,49,22,1,8/2/2023,Delivered,Rupiah
50,50,34,2,8/18/2023,Cancelled,Yen
51,51,34,2,8/20/2023,Delivered,Lev
52,52,36,3,11/19/2023,Pending,Rial
53,53,13,4,7/16/2024,Shipped,Dong
54,54,19,1,1/3/2023,Delivered,Koruna
55,55,3,4,8/28/2024,Delivered,Ruble
56,56,5,3,11/23/2024,Cancelled,Manat
57,57,39,1,8/31/2024,Pending,Euro
58,58,16,3,2/13/2023,Pending,Ruble
59,59,5,3,3/8/2023,Shipped,Ruble
60,60,28,2,4/3/2024,Cancelled,Euro
61,61,9,2,9/30/2024,Delivered,Dollar
62,62,19,2,4/6/2023,Cancelled,Rupiah
63,63,3,4,7/12/2023,Delivered,Euro
64,64,33,4,5/26/2023,Pending,Rial
65,65,17,1,7/15/2024,Processing,Hryvnia
66,66,17,3,8/21/2022,Pending,Rupiah
67,67,24,1,7/12/2023,Shipped,Baht
68,68,32,2,10/26/2022,Processing,Birr
69,69,8,2,8/20/2024,Cancelled,Yuan Renminbi
70,70,35,3,7/22/2024,Cancelled,Rial
71,71,30,3,4/19/2023,Delivered,Rupiah
72,72,11,2,8/11/2024,Shipped,Rupiah
73,73,6,3,3/11/2023,Delivered,Rupiah
74,74,22,4,6/14/2023,Delivered,Yen
75,75,30,2,6/19/2023,Processing,Rupiah
76,76,8,3,3/1/2023,Pending,Euro
77,77,12,3,9/28/2024,Shipped,Bolivar
78,78,29,2,3/22/2023,Shipped,Rupiah
79,79,1,1,7/18/2023,Pending,Peso
80,80,9,1,1/15/2023,Processing,Peso
81,81,37,3,9/11/2022,Processing,Euro
82,82,21,3,7/22/2023,Pending,Real
83,83,2,4,9/1/2023,Cancelled,Yuan Renminbi
84,84,32,3,2/23/2024,Shipped,Yuan Renminbi
85,85,35,3,7/18/2024,Processing,Dollar
86,86,35,1,8/1/2023,Delivered,Euro
87,87,19,3,8/18/2023,Pending,Rupiah
88,88,16,1,9/18/2023,Cancelled,Rupiah
89,89,16,4,8/23/2024,Cancelled,Dollar
90,90,5,3,11/13/2024,Delivered,Peso
91,91,26,2,11/21/2022,Pending,Sol
92,92,5,3,6/8/2024,Delivered,Euro
93,93,22,3,5/31/2023,Processing,Dinar
94,94,40,2,10/19/2023,Pending,Euro
95,95,37,3,8/17/2024,Cancelled,Krone
96,96,5,3,12/30/2023,Processing,Bolivar
97,97,37,1,10/18/2024,Delivered,Zloty
98,98,27,3,12/28/2024,Pending,Sol
99,99,16,2,7/30/2023,Delivered,Yuan Renminbi
100,100,25,3,8/26/2024,Delivered,Rupiah
101,101,17,3,8/15/2022,Delivered,Dinar
102,102,4,1,3/5/2024,Delivered,Ruble
103,103,39,4,2/14/2024,Cancelled,Rupiah
104,104,23,1,5/19/2024,Cancelled,Rial
105,105,10,1,12/17/2022,Pending,Yuan Renminbi
106,106,4,1,6/23/2024,Delivered,Yuan Renminbi
107,107,17,1,4/1/2024,Cancelled,Koruna
108,108,40,4,1/25/2024,Delivered,Rupiah
109,109,25,3,8/13/2024,Shipped,Bolivar
110,110,30,4,8/31/2023,Shipped,Euro
111,111,11,4,12/23/2023,Processing,Ruble
112,112,39,2,11/22/2022,Cancelled,Rupiah
113,113,35,4,8/28/2024,Pending,Real
114,114,40,3,5/18/2023,Shipped,Yuan Renminbi
115,115,17,1,3/5/2023,Cancelled,Naira
116,116,33,4,12/19/2022,Shipped,Hryvnia
117,117,39,3,11/12/2024,Cancelled,Koruna
118,118,35,2,12/15/2024,Delivered,Yuan Renminbi
119,119,35,4,5/21/2024,Shipped,Real
120,120,37,2,7/10/2024,Processing,Euro
121,121,9,1,12/11/2024,Processing,Sol
122,122,23,4,8/14/2023,Processing,Ruble
123,123,35,4,12/30/2022,Delivered,Peso
124,124,9,3,4/13/2023,Cancelled,Yuan Renminbi
125,125,19,1,11/2/2022,Cancelled,Euro
126,126,28,3,3/4/2024,Shipped,Yuan Renminbi
127,127,27,1,4/4/2024,Cancelled,Rupiah
128,128,8,4,12/22/2023,Processing,Real
129,129,28,4,8/16/2022,Processing,Yuan Renminbi
130,130,19,4,8/4/2023,Pending,Franc
131,131,18,4,8/31/2022,Shipped,Shekel
132,132,3,4,3/25/2024,Processing,Rupiah
133,133,28,3,8/5/2022,Shipped,Rupiah
134,134,9,1,11/23/2024,Delivered,Dollar
135,135,21,4,12/29/2024,Pending,Colon
136,136,40,4,8/24/2022,Pending,Real
137,137,29,2,1/13/2023,Pending,Rupiah
138,138,35,4,5/30/2024,Processing,Dollar
139,139,32,3,2/9/2023,Delivered,Yuan Renminbi
140,140,22,2,11/5/2023,Cancelled,Dollar
141,141,15,4,10/29/2023,Shipped,Yuan Renminbi
142,142,19,4,11/14/2022,Delivered,Baht
143,143,25,4,10/17/2022,Cancelled,Peso
144,144,9,4,9/14/2023,Delivered,Euro
145,145,4,4,7/10/2024,Shipped,Som
146,146,35,2,1/5/2023,Pending,Euro
147,147,8,3,8/25/2024,Pending,Rial
148,148,20,2,5/30/2023,Shipped,Rial
149,149,14,1,12/27/2022,Pending,Rupiah
150,150,32,3,3/21/2024,Cancelled,Zloty
151,151,20,4,4/15/2024,Pending,Rupiah
152,152,5,3,10/24/2023,Processing,Ruble
153,153,5,1,11/4/2022,Shipped,Euro
154,154,35,4,6/25/2024,Shipped,Yuan Renminbi
155,155,30,2,11/14/2022,Cancelled,Dollar
156,156,37,3,2/20/2024,Processing,Forint
157,157,21,2,6/26/2023,Pending,Rupiah
158,158,32,4,11/16/2023,Pending,Euro
159,159,30,4,9/4/2022,Shipped,Peso
160,160,37,3,12/25/2024,Pending,Dollar
161,161,9,4,2/23/2024,Shipped,Yuan Renminbi
162,162,34,2,5/22/2023,Shipped,Koruna
163,163,6,2,11/14/2024,Processing,Guarani
164,164,27,4,9/10/2023,Processing,Dollar
165,165,13,3,3/1/2023,Shipped,Peso
166,166,11,1,3/29/2024,Shipped,Franc
167,167,20,4,4/30/2024,Shipped,Euro
168,168,3,3,12/6/2024,Pending,Zloty
169,169,5,4,9/8/2022,Cancelled,Rupiah
170,170,28,4,9/24/2023,Shipped,Peso
171,171,2,1,11/30/2022,Shipped,Rupiah
172,172,4,4,12/6/2022,Delivered,Krona
173,173,8,4,1/26/2023,Delivered,Peso
174,174,36,1,11/15/2024,Pending,Zloty
175,175,24,3,11/1/2024,Processing,Rupiah
176,176,14,1,8/22/2023,Pending,Yuan Renminbi
177,177,39,1,7/18/2024,Pending,Rupee
